Year,site,date,treatment,ldist,hdist,temp,windm,lbee_vis,hbee_vis,flDens,Bay
2015,Weggeman,7/25/2015,Standard,7,370,20.8,1.5,0,0,336,Female
2015,Weggeman,7/25/2015,Standard,7,185,24.6,2.8,0,1,NA,Female
2015,Weggeman,7/25/2015,Standard,7,370,20.8,1.5,0,4,968,Male
2015,Weggeman,7/25/2015,Standard,7,185,24.6,2.8,25,20,336,Male
2015,Weggeman,7/25/2015,Standard,49,370,20.1,0.5,0,13,NA,Female
2015,Weggeman,7/25/2015,Standard,49,178,22.8,1.1,0,23,192,Female
2015,Weggeman,7/25/2015,Standard,49,370,20.1,0.5,0,36,NA,Male
2015,Weggeman,7/25/2015,Standard,49,178,22.8,1.1,0,39,492.8,Male
2015,Weggeman,7/25/2015,Standard,51,33,24.1,2.3,1,11,224,Female
2015,Weggeman,7/25/2015,Standard,51,33,24.1,2.3,0,69,756,Male
2015,Wind,6/29/2015,Standard,5,80,26.4,0,34,0,540,Female
2015,Wind,6/29/2015,Standard,5,80,26.4,0,0,0,412,Male
2015,Wind,6/29/2015,Standard,10,50,28.2,0.6,59,0,540,Female
2015,Wind,6/29/2015,Standard,10,200,29.2,0,9,6,540,Female
2015,Wind,6/29/2015,Standard,10,50,28.2,0.6,16,0,412,Male
2015,Wind,6/29/2015,Standard,10,200,29.2,0,5,0,412,Male
2015,Wind,6/29/2015,Standard,60,100,30.1,0.4,20,4,540,Female
2015,Wind,6/29/2015,Standard,60,100,30.1,0.4,0,1,412,Male
2015,Wind,6/29/2015,Standard,100,760,26.7,0.3,0,0,540,Female
2015,Wind,6/29/2015,Standard,100,760,26.7,0.3,0,0,412,Male
2015,Woudwijk 1,7/10/2015,Double tent,5,330,33.9,0.7,44,8,851.2,Female
2015,Woudwijk 1,7/10/2015,Double tent,5,330,33.9,0.7,37,7,1641.6,Male
2015,Woudwijk 1,7/10/2015,Double tent,7,75,25,0.3,14,4,1260,Female
2015,Woudwijk 1,7/10/2015,Double tent,7,152,31,0,28,0,1000,Female
2015,Woudwijk 1,7/10/2015,Double tent,7,75,25,0.3,17,3,1196,Male
2015,Woudwijk 1,7/10/2015,Double tent,7,152,31,0,120,1,655.2,Male
2015,Woudwijk 1,7/10/2015,Double tent,30,320,33.6,0.4,16,32,1568,Female
2015,Woudwijk 1,7/10/2015,Double tent,30,320,33.6,0.4,22,6,1345.6,Male
