Year,Field,Distance,Plant,VegMass,SeedMass,Branch,Pods,Missing,SeedCount,PodCount1,PodMass1,PodCount2,PodMass2,PodCount3,PodMass3,PodCount4,PodMass4,PodCount5,PodMass5
2014,24,500,5,19.9371,9.8529,5,239,79,NA,7,0.0191,16,0.034,18,0.0378,18,0.0633,24,0.084
2014,20,5,1,4.3249,2.4151,3,50,2,NA,15,0.0027,4,0.0171,14,0.0282,19,0.0531,14,0.0424
2014,20,5,4,3.5014,1.0286,0,25,3,NA,16,0.064,30,0.1267,20,0.0566,14,0.0689,4,0.0261
2014,20,5,5,8.6093,2.0407,3,67,52,NA,21,0.0293,18,0.0167,30,0.0777,20,0.036,23,0.0428
2014,20,20,1,6.7786,2.3914,3,71,30,NA,17,0.0367,14,0.0203,25,0.0719,22,0.0377,27,0.0503
2014,20,20,4,27.3823,10.1977,5,232,54,NA,22,0.0391,26,0.0333,30,0.0586,31,0.0768,29,0.0429
2014,20,20,5,30.3591,12.9509,6,253,64,NA,26,0.0386,29,0.0499,25,0.0437,33,0.0641,30,0.0527
2014,20,100,2,4.3127,1.3673,3,31,13,NA,35,0.0721,29,0.0721,28,0.0696,31,0.0942,30,0.0807
2014,20,100,3,6.0834,0.4066,2,31,10,NA,18,0.0248,15,0.0457,14,0.0308,12,0.0202,19,0.0462
2014,20,100,5,10.075,3.985,2,57,31,NA,35,0.1708,16,0.0624,21,0.059,29,0.0806,34,0.1621
2014,20,500,1,9.8405,4.6795,3,90,39,NA,14,0.0362,15,0.0409,25,0.0702,25,0.0802,25,0.0755
2014,20,500,2,19.7594,5.6106,4,147,22,NA,17,0.0359,17,0.0323,21,0.0649,18,0.0504,22,0.0749
2014,20,500,5,13.6978,6.4422,4,128,55,NA,29,0.0612,19,0.0394,25,0.0558,29,0.0702,28,0.0698
2014,21,5,2,7.6534,1.6666,1,43,16,NA,27,0.0765,27,0.0957,10,0.0078,29,0.0988,22,0.0626
2014,21,5,3,20.8898,1.8902,7,99,109,NA,11,0.0109,20,0.0569,17,0.0225,21,0.033,24,0.0406
2014,21,5,5,4.7173,1.0127,1,18,12,NA,20,0.0787,20,0.0546,25,0.1499,20,0.0934,27,0.1273
2014,21,20,2,19.9044,1.5056,4,88,96,NA,17,0.0175,21,0.0591,20,0.1002,19,0.0322,25,0.0435
2014,21,20,3,17.9365,3.9335,5,90,65,NA,12,0.0355,17,0.088,28,0.0867,27,0.0767,33,0.1442
2014,21,20,5,13.5032,1.9968,3,66,64,NA,25,0.0301,24,0.0394,26,0.0811,29,0.0676,24,0.0509
2014,21,100,1,13.7752,0.1448,3,61,44,NA,17,0.0075,14,0.0062,21,0.01,20,0.021,20,0.0242
2014,21,100,2,9.0816,3.0284,3,45,28,NA,18,0.0967,28,0.1189,28,0.1211,23,0.127,30,0.01257
2014,21,100,3,10.6304,0.8696,5,38,94,NA,18,0.0092,12,0.0129,20,0.0499,23,0.098,22,0.0201
2014,21,500,1,16.7002,3.1698,3,84,89,NA,33,0.1524,24,0.0552,31,0.0581,28,0.0761,28,0.0857
2014,21,500,2,18.2084,1.9016,3,87,75,NA,34,0.0577,36,0.0613,12,0.0629,23,0.0338,15,0.0514
2014,21,500,4,13.4885,4.1015,5,76,60,NA,18,0.0782,31,0.1141,3,0.018,26,0.0882,19,0.0847
2014,4,5,1,19.7464,5.4436,5,131,44,NA,26,0.0882,29,0.091,16,0.0336,9,0.0142,9,0.0197
2014,4,5,2,9.7626,3.7174,2,62,19,NA,30,0.1159,24,0.0585,22,0.0888,28,0.1125,17,0.0571
2014,4,5,3,9.8769,3.1531,3,88,10,NA,21,0.0459,23,0.0644,16,0.0316,14,0.0302,16,0.0372
2014,4,20,2,16.2939,4.2261,6,129,42,NA,22,0.0847,8,0.0035,25,0.0268,22,0.0524,23,0.0422
2014,4,20,3,14.1909,5.1091,6,114,37,NA,21,0.036,22,0.0594,25,0.0755,19,0.0364,13,0.0585
2014,4,20,4,3.1075,0.1725,3,17,5,NA,23,0.0215,24,0.0238,22,0.0175,23,0.0165,23,0.0291
2014,4,100,1,6.0119,2.2281,2,51,20,NA,12,0.0232,26,0.0935,24,0.0721,24,0.0576,24,0.0673
2014,4,100,3,14.4314,5.5986,4,110,21,NA,25,0.062,24,0.1098,27,0.0644,29,0.075,26,0.0727
2014,4,100,4,15.8327,6.7473,6,158,59,NA,23,0.084,19,0.0349,20,0.0364,18,0.0541,5,0.006
