"Field","Distance","minDist","Bay","EdgeCent","Date","StartTime","TotalTime","FlDens","lbee","hbee","otherBee","hFly","AirTemp","WindSp","RH","Year","PlDens"
4,120,14,"M","Edge",2016-07-19,NA,10,556.8,18,10,NA,NA,NA,NA,NA,2016,NA
4,115,34,"F","Edge",2016-07-19,NA,10,324.8,12,0,NA,NA,NA,NA,NA,2016,NA
4,115,34,"M","Edge",2016-07-19,NA,10,441.6,1,23,NA,NA,NA,NA,NA,2016,NA
5,240,5,"F","Edge",2016-07-21,NA,10,249.6,24,0,NA,NA,NA,NA,NA,2016,NA
5,240,5,"M","Edge",2016-07-21,NA,10,708,57,2,NA,NA,NA,NA,NA,2016,NA
5,220,21,"F","Edge",2016-07-21,NA,10,309.6,32,8,NA,NA,NA,NA,NA,2016,NA
5,220,21,"M","Edge",2016-07-21,NA,10,704,37,0,NA,NA,NA,NA,NA,2016,NA
12,240,2,"F","Edge",2016-07-20,NA,10,211.2,16,0,NA,NA,NA,NA,NA,2016,NA
12,240,2,"M","Edge",2016-07-20,NA,10,364.8,14,0,NA,NA,NA,NA,NA,2016,NA
12,114,3,"F","Edge",2016-07-20,NA,10,320,14,0,NA,NA,NA,NA,NA,2016,NA
12,114,3,"M","Edge",2016-07-20,NA,10,294.4,16,0,NA,NA,NA,NA,NA,2016,NA
13,275,4,"F","Edge",2016-07-07,NA,10,320,39,0,NA,NA,NA,NA,NA,2016,NA
13,275,4,"M","Edge",2016-07-07,NA,10,115.2,9,0,NA,NA,NA,NA,NA,2016,NA
13,196,71,"F","Edge",2016-07-07,NA,10,704,4,27,NA,NA,NA,NA,NA,2016,NA
13,196,71,"M","Edge",2016-07-07,NA,10,NA,2,0,NA,NA,NA,NA,NA,2016,NA
14,240,5,"F","Edge",2016-07-07,NA,10,396,90,0,NA,NA,NA,NA,NA,2016,NA
14,240,5,"M","Edge",2016-07-07,NA,10,176,23,0,NA,NA,NA,NA,NA,2016,NA
14,250,190,"F","Edge",2016-07-07,NA,10,336,3,0,NA,NA,NA,NA,NA,2016,NA
14,250,190,"M","Edge",2016-07-07,NA,10,208,0,1,NA,NA,NA,NA,NA,2016,NA
15,175,5,"F","Edge",2016-07-08,NA,10,NA,89,0,NA,NA,NA,NA,NA,2016,NA
15,175,5,"M","Edge",2016-07-08,NA,10,432,5,0,NA,NA,NA,NA,NA,2016,NA
15,216,50,"F","Edge",2016-07-08,NA,10,860,0,1,NA,NA,NA,NA,NA,2016,NA
16,124,3,"F","Edge",2016-07-18,NA,10,684,40,0,NA,NA,NA,NA,NA,2016,NA
16,124,3,"M","Edge",2016-07-18,NA,10,707.2,37,20,NA,NA,NA,NA,NA,2016,NA
16,130,54,"F","Edge",2016-07-18,NA,10,526.4,6,58,NA,NA,NA,NA,NA,2016,NA
16,130,54,"M","Edge",2016-07-18,NA,10,230.4,0,8,NA,NA,NA,NA,NA,2016,NA
17,170,2,"F","Edge",2016-07-18,NA,10,768,38,0,NA,NA,NA,NA,NA,2016,NA
17,170,2,"M","Edge",2016-07-18,NA,10,470.4,30,10,NA,NA,NA,NA,NA,2016,NA
17,110,51,"F","Edge",2016-07-18,NA,10,440,9,22,NA,NA,NA,NA,NA,2016,NA
17,110,51,"M","Edge",2016-07-18,NA,10,660,4,39,NA,NA,NA,NA,NA,2016,NA
19,150,3,"F","Edge",2016-07-04,NA,10,820.8,89,0,NA,NA,NA,NA,NA,2016,NA
19,150,3,"M","Edge",2016-07-04,NA,10,355.2,37,0,NA,NA,NA,NA,NA,2016,NA
19,100,58,"F","Edge",2016-07-04,NA,10,697,17,0,NA,NA,NA,NA,NA,2016,NA
19,100,58,"M","Edge",2016-07-04,NA,10,358.4,4,4,NA,NA,NA,NA,NA,2016,NA
20,120,4,"F","Edge",2016-07-17,NA,10,274.4,35,2,NA,NA,NA,NA,NA,2016,NA
20,120,4,"M","Edge",2016-07-17,NA,10,940.8,62,9,NA,NA,NA,NA,NA,2016,NA
20,190,55,"F","Edge",2016-07-17,NA,10,396,1,9,NA,NA,NA,NA,NA,2016,NA
20,190,55,"M","Edge",2016-07-17,NA,10,1101.6,0,23,NA,NA,NA,NA,NA,2016,NA
